ID_2	X	Y	elevacion	twi	arcilla	pH	COS
216	401699.9	6616495.67	494	104	24.1	7.2	15.48
217	398072.08	6596511.07	551	110	26.9	6.1	25.94
218	398262.26	6576561.37	533	113	22.7	6.9	15.61
219	391757.12	6558626.52	531	108	36.1	6.5	21.55
220	399062.75	6541123.71	317	118	23.1	7.3	10.15
221	402114.27	6516158.45	377	119	26.9	6.4	15.65
222	399184.91	6498205.87	383	124	24.4	7	11.19
223	393818.33	6473952.7	410	125	21	6.9	11.32
224	390997.43	6456295.53	444	113	21	7.2	11.75
225	399621.51	6436898.31	389	119	14.9	7	8.73
226	398740.66	6419517.58	424	115	16.8	5.98	11.23
227	406077.5	6399415.16	389	114	13.4	6.47	10.69
228	401547.59	6373100.2	399	115	4.1	6.16	6.71
229	401702.31	6355988.66	332	121	9.9	5.88	7.51
230	406179.76	6343826.65	328	117	11	5.75	25.39
231	407790.89	6317411.91	298	117	11.2	6	8.35
232	409014.56	6295733.5	261	113	11.5	5.86	8.97
233	401905.27	6279373.63	282	118	15.4	6.5	13.91
234	401472.93	6255903.18	223	123	16	6.3	10.69
235	398589.21	6235904.79	189	125	12.8	9.6	6.84
236	402509.29	6212628.59	180	125	17	7.5	10.78
237	393126.66	6195884.81	183	126	12.1	6.2	7.85
238	400762.87	6181512.71	170	126	14.8	6.4	8.8
239	394375.15	6156444.52	160	127	8.8	6.5	4.76
240	400352.31	6138833.54	155	126	12.1	6.6	5.83
241	375837.03	6714323.16	254	113	22.4	6.5	24.13
242	365386.79	6695977.78	738	128	26.9	6.9	14.82
245	377040.03	6636194.96	755	78	23.4	7	21.14
246	382613.13	6619021.46	726	110	26	6.8	15.74
248	379647.2	6574478.26	714	106	19.5	6.7	25.13
249	377951.96	6556394.26	706	95	16.1	6.9	27.61
250	379858.94	6542664.31	554	105	26.23	7.01	17.7
251	379912.81	6513834.93	508	110	29.7	6.9	17
252	378648.57	6496538.18	477	112	27.2	7	18.56
253	378883.18	6476585.09	457	110	26.2	7.1	18.66
254	373300.19	6454148.92	560	106	24.7	7.2	18.91
255	379355.97	6436677.28	434	108	25.3	7.1	17.43
256	376539.45	6419165.35	576	110	6.7	7.1	3.2
257	374614.17	6394682.13	657	105	12.4	7.4	13.09
258	378122.04	6374188.83	529	111	8.5	7.4	9.67
259	371612.33	6361512.93	520	116	12.9	6.4	16.39
260	383588.56	6341232.69	420	116	27.5	6.5	25
261	374332.38	6317590.17	385	116	19	6.4	14.2
262	381632.96	6292313.34	290	123	10.2	6.7	9.29
263	384813.95	6282947.56	272	124	8.6	6.5	9.39
264	377971.74	6258673.41	232	124	12.4	6.3	11.1
265	378353.93	6241497.3	219	126	13.3	6.2	8.48
266	385668.46	6223914.94	199	125	13	6	9.76
267	372920.76	6201697.05	209	124	11.8	6.6	8.07
268	373822.74	6168505.49	177	120	3.3	6.7	8.96
269	374283.45	6155857.43	185	124	8.2	6.8	8.26
270	379627.02	6134719.16	175	122	33.2	7.7	8.82
271	348711.77	6711924.3	136	127	6.4	7.2	2.8
272	358202.87	6708195.37	160	125	10.3	6.7	8.9
273	362072.5	6681196.78	362	112	17.1	7.6	20.8
274	355738.66	6657257.94	408	115	11.5	8.3	10.96
276	357028.12	6627659.12	684	108	18.7	7.7	21.54
277	357836.55	6595032.22	1079	80	16.7	7.4	29.33
278	357181.26	6576089.43	1069	79	10.5	7.5	31.89
279	357460.41	6556070.9	911	96	2.6	7.5	19.01
